"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"60","220.84073802398177","228.219823350504","0.029541015625","0.02392578125","0.03515625","1560","0.00021446529349532806","32","0.00021446529349532806","0","0.00021446529349532806","0.00021446529349532806","61:0.0016541602280217282;59:0.0047003193474785265","61:68;59:68","61:0.0016081779021477893;59:0.005975851157150686","0.029541015625","Yes"
"61","163.43645994079864","194.61321951201558","0.01806640625","0.01953125","0.0166015625","1560","0.00021262136611080356","32","0.00021262136611080356","0","0.00021262136611080356","0.00021262136611080356","60:0.0016541602280217282;62:0.0019096213433335008;54:0.005653666019258957","60:68;62:68;54:152","60:0.0016081779021477893;62:0.0019836015548330144;54:0.004835294117213285","0.01806640625","Yes"
"62","129.91707190889903","119.8972445775074","0.0263671875","0.0234375","0.029296875","1560","0.00030467476662809066","32","0.00030467476662809066","0","0.00030467476662809066","0.00030467476662809066","61:0.0019096213433335008;63:0.003549182082027841","61:68;63:164","61:0.0019836015548330144;63:0.0035995229022469655","0.0263671875","Yes"
"63","185.54624126897315","152.0539202075592","0.04931640625","0.0380859375","0.060546875","1560","0.0005976664557156861","32","0.0005976664557156861","0","0.0005976664557156861","0.0005976664557156861","62:0.003549182082027841;64:0.002034258245593945;73:0.0027508238725059975","62:164;64:68;73:88","62:0.0035995229022469655;64:0.0019916354973704975;73:0.0024585668490203216","0.04931640625","Yes"
"64","116.59315271482019","128.89543941314693","0.132080078125","0.12158203125","0.142578125","1560","0.00022508094702326542","32","0.00022508094702326542","0","0.00022508094702326542","0.00022508094702326542","65:0.002695024759189951;63:0.002034258245593945","65:68;63:68","65:0.0034315589059193408;63:0.0019916354973704975","0.132080078125","Yes"
"65","226.1015076318","255.82689404417454","0.047119140625","0.064453125","0.02978515625","1560","0.0006837719281999953","32","0.0006837719281999953","0","0.0006837719281999953","0.0006837719281999953","55:0.003640002857011576;64:0.002695024759189951;66:0.003734176451319904","55:120;64:68;66:68","55:0.003574481508142574;64:0.0034315589059193408;66:0.003783689818575381","0.047119140625","Yes"
"66","223.56789344984205","224.11137304349498","0.07470703125","0.07080078125","0.07861328125","1560","0.0003643258796069931","32","0.0003643258796069931","0","0.0003643258796069931","0.0003643258796069931","65:0.003734176451319904;67:0.0019640227492533913","65:68;67:68","65:0.003783689818575381;67:0.0019410714406741525","0.07470703125","Yes"
"67","272.2127819286623","163.56073139255912","0.149169921875","0.1982421875","0.10009765625","1560","","32","","0","","","68:0.0026761223269321788;74:0.0021786046740083775;66:0.0019640227492533913","68:88;74:72;66:68","68:0.0023787729934272583;74:0.002174650861196392;66:0.0019410714406741525","0.149169921875","Yes"
"68","241.67685792113798","106.63658013692582","0.06396484375","0.0693359375","0.05859375","1560","0.00030460728715228305","32","0.00030460728715228305","0","0.00030460728715228305","0.00030460728715228305","67:0.0026761223269321788;69:0.00246366250049318","67:88;69:68","67:0.0023787729934272583;69:0.002152074647329527","0.06396484375","Yes"
"69","120.62573644687384","65.66269605197284","0.06689453125","0.07958984375","0.05419921875","1560","0.0002528369831058689","32","0.0002528369831058689","0","0.0002528369831058689","0.0002528369831058689","56:0.0038357128487368497;68:0.00246366250049318;70:0.003035248832002818","56:160;68:68;70:68","56:0.003248699526068599;68:0.002152074647329527;70:0.0025533397190447005","0.06689453125","Yes"
"70","85.03013780895503","31.050470783801785","0.156005859375","0.126953125","0.18505859375","1560","0.0004817166481043395","32","0.0004817166481043395","0","0.0004817166481043395","0.0004817166481043395","69:0.003035248832002818;71:0.0027401411293805633","69:68;71:68","69:0.0025533397190447005;71:0.0025564338365074435","0.156005859375","Yes"
"71","214.44378695939793","41.94084762403954","0.11865234375","0.13037109375","0.10693359375","1560","0.0003285716224055035","32","0.0003285716224055035","0","0.0003285716224055035","0.0003285716224055035","75:0.0019474389689898564;70:0.0027401411293805633","75:112;70:68","75:0.002292830058507972;70:0.0025564338365074435","0.11865234375","Yes"
"72","156.7099480435998","73.70188562912311","0.033935546875","0.02978515625","0.0380859375","1560","0.00024771717781021577","32","0.00024771717781021577","0","0.00024771717781021577","0.00024771717781021577","59:0.005458933961344115;78:0.0030003838765114144","59:68;78:120","59:0.006198358151183081;78:0.0036071762193186363","0.033935546875","Yes"
"73","209.01436304879562","134.51460599340436","0.05078125","0.0478515625","0.0537109375","1560","0.0008182382557931723","32","0.0008182382557931723","0","0.0008182382557931723","0.0008182382557931723","82:0.0026299090335919206;63:0.0027508238725059975","82:88;63:88","63:0.0024585668490203216","0.05078125","Yes"
"74","164.74888619029505","132.31724528569015","0.043701171875","0.03564453125","0.0517578125","1560","0.0004284751562678749","32","0.0004284751562678749","0","0.0004284751562678749","0.0004284751562678749","86:0.0024300468940550712;67:0.0021786046740083775","86:68;67:72","86:0.0026426176561297476;67:0.002174650861196392","0.043701171875","Yes"
"75","274.99016109128974","142.01858957111045","0.022216796875","0.0302734375","0.01416015625","1560","0.0006703830769178912","32","0.0006703830769178912","0","0.0006703830769178912","0.0006703830769178912","90:0.0015290256351040143;71:0.0019474389689898564","90:88;71:112","90:0.0018766781056399895;71:0.002292830058507972","0.022216796875","Yes"
"76","200.70210915196003","221.0473664778698","0.080078125","0.09521484375","0.06494140625","1560","0.0002969141116194129","32","0.0002969141116194129","0","0.0002969141116194129","0.0002969141116194129","91:0.00725724740240466;77:0.0021251318546781917","91:68;77:68","91:0.008317676778005267;77:0.0022499947505723594","0.080078125","Yes"
"77","263.66773882079406","188.70055033263174","0.1123046875","0.07763671875","0.14697265625","1560","0.0002714353721029378","32","0.0002714353721029378","0","0.0002714353721029378","0.0002714353721029378","78:0.0019094502033954464;76:0.0021251318546781917","78:68;76:68","78:0.0017640294118562994;76:0.0022499947505723594","0.1123046875","Yes"
"78","99.1061740396732","111.29249129571078","0.03515625","0.03662109375","0.03369140625","1560","0.0007399556786540528","32","0.0007399556786540528","0","0.0007399556786540528","0.0007399556786540528","77:0.0019094502033954464;79:0.01178459985396288;72:0.0030003838765114144","77:68;79:88;72:120","77:0.0017640294118562994;79:0.009112207919604293;72:0.0036071762193186363","0.03515625","Yes"
"79","70.12830660244089","85.32356190283241","0.056640625","0.0966796875","0.0166015625","1560","0.0020442471415814813","32","0.0020442471415814813","0","0.0020442471415814813","0.0020442471415814813","78:0.01178459985396288;80:0.01159107925658659","78:88;80:68","78:0.009112207919604293;80:0.007866198053171736","0.056640625","Yes"
"80","128.49507202572298","26.49858315125398","0.03271484375","0.03369140625","0.03173828125","1560","0.00020229787196099537","32","0.00020229787196099537","0","0.00020229787196099537","0.00020229787196099537","81:0.002620791417849766;92:0.0018902751712995547;79:0.01159107925658659","81:68;92:68;79:68","81:0.0023953744050060344;92:0.0014072960511037902;79:0.007866198053171736","0.03271484375","Yes"
"81","137.6735554725659","131.39270226236434","0.103759765625","0.09326171875","0.1142578125","1560","0.00037159050301709487","32","0.00037159050301709487","0","0.00037159050301709487","0.00037159050301709487","80:0.002620791417849766;82:0.0023306950397069814","80:68;82:68","80:0.0023953744050060344;82:0.0027860104473703684","0.103759765625","Yes"
"82","227.96249011311255","122.16533099876312","0.037353515625","0.0341796875","0.04052734375","1560","0.0003921504951883472","32","0.0003921504951883472","0","0.0003921504951883472","0.0003921504951883472","81:0.0023306950397069814;83:0.0021889481283366707;73:0.0026299090335919206","81:68;83:68;73:88","81:0.0027860104473703684;83:0.015545402024770394","0.037353515625","Yes"
"83","184.31199343255426","143.6964205075369","0.079345703125","0.06298828125","0.095703125","1560","0.0004114776516936248","32","0.0004114776516936248","0","0.0004114776516936248","0.0004114776516936248","82:0.0021889481283366707;84:0.0025567051797972806","82:68;84:108","82:0.015545402024770394;84:0.0045668183664684114","0.079345703125","Yes"
